id,created_at,symbol,body,sentiment_basic
658685977,2026-07-09T18:22:10Z,ORCL,$ORCL downgraded to BBB  SHORT IT HEAVY SPARTANER,Bearish
658685958,2026-07-09T18:22:00Z,ORCL,$ORCL now bloddy S&amp;P is fucking is with downgrade. Fucking bastards,
658685891,2026-07-09T18:21:23Z,ORCL,$ORCL Traders&#39; hopium seems to be running out. LOL,
658685730,2026-07-09T18:20:13Z,ORCL,"$ORCL hell yeah, folks wil learn to take profit with this bitch",
658685688,2026-07-09T18:19:52Z,ORCL,$ORCL 200 calls exp Aug 21st,Bullish
658685687,2026-07-09T18:19:51Z,ORCL,$ORCL  heavy manipulation,
658685571,2026-07-09T18:19:00Z,ORCL,$ORCL credit rating doesn’t mean crap when RPO is 700B,Bullish
658685554,2026-07-09T18:18:53Z,ORCL,$ORCL can’t hold gains dam this is dead horse,
658685521,2026-07-09T18:18:40Z,ORCL,$ORCL trash,Bearish
658685462,2026-07-09T18:18:19Z,ORCL,"$ORCL downgrade, will finish red!",
658685257,2026-07-09T18:16:50Z,ORCL,$ORCL typical shit… wouldn’t be surprised if closes red,
658685109,2026-07-09T18:15:47Z,ORCL,$ORCL bring it Down to nothing....ohhhhhhhhh yeah this will RIP HARD.....EPIC DESTROYING INCOMING,Bearish
658685098,2026-07-09T18:15:40Z,ORCL,$ORCL lol forever turd,
658685077,2026-07-09T18:15:30Z,ORCL,$ORCL Are you fucking kidding me,
658685050,2026-07-09T18:15:17Z,ORCL,"$ORCL downgrade by s&amp;p? Really? Sure they came out today, fuckin rats. See you at 200++",Bullish
658684968,2026-07-09T18:14:42Z,ORCL,"$ORCL Most of the market is lifting upwards, this is tracing back a bit from the morning pop. Seems ok to me.",Bullish
658684896,2026-07-09T18:14:07Z,ORCL,$ORCL head fake to retest lows. Reversal not confirmed here,
658684856,2026-07-09T18:13:49Z,ORCL,$ORCL Lifetime Short 🤟🏻🤟🏻🤟🏻🤟🏻🤟🏻😎,Bearish
658684724,2026-07-09T18:12:54Z,ORCL,$ORCL When i post Some Trade Some kids ask me to show then screen shot - here is the screen shot - We are visible on Option chain!     Join my Discord or not - But put your fact correct - I run the show here!,Bullish
658684580,2026-07-09T18:11:49Z,ORCL,$ORCL  wtf,
658684446,2026-07-09T18:10:34Z,ORCL,$ORCL ready for a big squeeze,Bullish
658684399,2026-07-09T18:10:14Z,ORCL,$ORCL Here come the algos selling ORCL following that news of S&amp;P downgrading ORCL debt.,
658684120,2026-07-09T18:08:21Z,ORCL,"$ORCL Goes Ex-dividend tomorrow, pays on the 24th",
658683969,2026-07-09T18:07:11Z,ORCL,$ORCL This company is jinxed. Can’t have a good day under this managment and Ellison’s reign. S&amp;P downgraded ORCL debt. What does this mean ? Now they got to pay more to lenders to get debt. Never dull. Never.,
658683950,2026-07-09T18:07:02Z,ORCL,$ORCL an anyone explain the 146 wall?,
658683773,2026-07-09T18:05:37Z,ORCL,"$QQQ Hey guys, here is a list of EARLY OPTIONS that’s gonna start trading from 7:30am Monday July 13th til 4:15pm everyday. Some good companies. $BABA $MSFT $NFLX $ORCL",
658683749,2026-07-09T18:05:29Z,ORCL,$ORCL New Short Put ITM Started  collected $179918.13,Bullish
658683524,2026-07-09T18:04:03Z,ORCL,"$ORCL is on fire today with AI and upgrade news driving a solid +3.17% move  Traders are piling into July calls, especially around $143 to $160 strikes  Spotted a 3,094-contract buy on the 7/17 $160C on InsiderFinance showing strong bullish sentiment for this month  But keep an eye on that massive Jan 2027 $125 put hedge with 3,000 contracts for $4.6M  Could be a sign of caution  If you&#39;re leaning long, defined-risk call spreads might be the safer play  Momentum is there but wait for a solid close above morning highs before getting too aggressive",
658683340,2026-07-09T18:02:51Z,ORCL,$ORCL $150+ tomorrow hold,Bullish
658683168,2026-07-09T18:01:34Z,ORCL,"$ORCL is playing the same ugly setup as oil: break the (W)MA200 / (M)MA50 zone, retest from underneath, then fail.    That’s not strength. That’s supply showing up exactly where bulls needed acceptance.    Until price reclaims those MAs cleanly, this is a hard pass. Nothing changed.",
658683036,2026-07-09T18:00:35Z,ORCL,$ORCL OpenAI Chief Executive Sam Altman told CNBC that the startup&#39;s GPT-5.6 Sol AI model is 54% more efficient on agentic coding tasks than competing models and performs &quot;as good or better.&quot; OpenAI announced last night it would make the model widely available. The rollout was initially limited to a small group of customers at the request of the U.S. government.,
658682991,2026-07-09T18:00:21Z,ORCL,S&amp;P: Oracle Corp. Downgraded To &#39;BBB-/A-3&#39; From &#39;BBB/A-2&#39; On Rising Business Risk And Weaker Cash Flow; Outlook Stable    $ORCL     https://www.spglobal.com/ratings/en/regulatory/article/-/view/type/HTML/id/3592348,
658682877,2026-07-09T17:59:34Z,ORCL,$ORCL Why would you join my discord? - Keep watching Screen shot and enjoy $ 24771 Profit overnight,Bullish
658682390,2026-07-09T17:55:58Z,ORCL,$ORCL we&#39;ll see 170 soon.,Bullish
658682279,2026-07-09T17:55:05Z,ORCL,$ORCL $PLTR Lmao,Bullish
658682034,2026-07-09T17:53:12Z,ORCL,"$NREDF $NRED.CSE $PLTR $ORCL $SNOW That&#39;s what I like to see less hype, more progress. 👀 Now it&#39;s about whether MetalCore can deliver value in the real world, not just in a press release. $NREDF",Bullish
658681191,2026-07-09T17:47:01Z,ORCL,$ORCL FOMO incoming,
658681011,2026-07-09T17:45:34Z,ORCL,$ORCL orcl,
658680840,2026-07-09T17:44:19Z,ORCL,$ORCL when is next divi date?,
658680166,2026-07-09T17:38:53Z,ORCL,$ORCL will reflag 📈,Bullish
658679873,2026-07-09T17:36:21Z,ORCL,$MSFT $ORCL $SPCX 🤘🏻,
658679497,2026-07-09T17:33:19Z,ORCL,$ORCL DOOOOOOOOOOOOONT SELLLL!!! Let’s ride this til $200,Bullish
658679447,2026-07-09T17:32:59Z,ORCL,$ORCL,Bullish
658678779,2026-07-09T17:28:01Z,ORCL,$ORCL Symmetrical triangle pattern making the third touch at the lower boundary - bounce from here will push the price towards the upper boundary but first lets get 150,Bullish
658678728,2026-07-09T17:27:35Z,ORCL,$ORCL over 150 and next stop is 175 sucka,Bullish
658677652,2026-07-09T17:18:41Z,ORCL,"$ORCL hmm anymore catalysts between now and next friday, other then dividend payment, but that technically ends today.",
658677612,2026-07-09T17:18:20Z,ORCL,$NOW “The Bulls are back in town!” 🎶🐂 $ORCL $HPE $CRWV,Bullish
658677518,2026-07-09T17:17:37Z,ORCL,$ORCL Dude imagine opening a short at $139 instead of a long. lmao,Bullish
658677517,2026-07-09T17:17:36Z,ORCL,$ORCL 152,Bullish
658677141,2026-07-09T17:14:35Z,ORCL,$ORCL goon close over $150 today obliterate shorts.    less than 1% chance open ai dont pay.    insanity to be short here.    im maxxed long goon make milly here.    jmo. nfa.    omly 1 frank google me,Bullish
658676939,2026-07-09T17:13:08Z,ORCL,$ORCL $175! In no time,Bullish
658676737,2026-07-09T17:11:39Z,ORCL,$ORCL orange revolution bringing more partnership news to back stop OpenAi RPO. Get ready for the run to 200++. BlackRock is loading and selling puts to leverage the trade!,Bullish
658676721,2026-07-09T17:11:34Z,ORCL,$ORCL 150C next week - 30% stop,Bullish
658676437,2026-07-09T17:09:37Z,ORCL,$ORCL 150 CALL 7/17 @ 3.25  STOP LOSS BELOW $138 ON STOCK,
658676326,2026-07-09T17:08:43Z,ORCL,$ORCL     Christmas 🎄 in July 🎅     Very,Bullish
658676023,2026-07-09T17:06:25Z,ORCL,$ORCL all good 👍  to go 🚀,Bullish
658675982,2026-07-09T17:06:04Z,ORCL,$ORCL nothing but positive ✨️,Bullish
658675788,2026-07-09T17:04:18Z,ORCL,$ORCL Better gap.,Bullish
658675474,2026-07-09T17:01:47Z,ORCL,$ORCL tomorrow all the gains will be given back to below $140,Bearish
658675457,2026-07-09T17:01:41Z,ORCL,$ORCL could be orange 🍊  news Friday after close,Bullish
658675301,2026-07-09T17:00:26Z,ORCL,$ORCL Trapping bears here 140.80-145.20,Bullish
658675110,2026-07-09T16:59:01Z,ORCL,"$ORCL It’s understandable many are going to want to trim a pop like that. For my situation, I spent entire chunks of 2024 and 2025 obsessing into all the little details about Oracle for entire weeks and months on end. That is a very steep hill to climb and this dunk on the price looks like a good long term hold to me.",Bullish
658674845,2026-07-09T16:57:04Z,ORCL,$ORCL I am long couldn’t care less. seems healthy to me,
658674414,2026-07-09T16:53:50Z,ORCL,$ORCL Getting dog walked into close.  No momentum.  Just a run of the mill dead cat bounce until proven otherwise.,
658674323,2026-07-09T16:53:13Z,ORCL,$ORCL last 10 minutes will be telling,
658674205,2026-07-09T16:52:10Z,ORCL,$ORCL going to bounce here. 160 next week,Bullish
658673533,2026-07-09T16:46:50Z,ORCL,$ORCL fucking turd,
658673070,2026-07-09T16:43:13Z,ORCL,"$ORCL I’m not selling covered calls anymore—not even the $165 expiring tomorrow. Wall Street loves dropping a surprise headline in the premarket or after hours right when everyone thinks the bottom is in. One 20% gap-up, and every covered call sold at the bottom gets taken away. I’ve learned that lesson the hard way before.  Let’s hold our shares tight and don’t be tricked by WS bastards.",Bullish
658672556,2026-07-09T16:39:38Z,ORCL,"$ORCL all this stock does is go down not sure why you guys are chasing the pump today, will find out soon",Bearish
658672200,2026-07-09T16:37:12Z,ORCL,"Here&#39;s what caught my attention about $NREDF.    At first, MetalCore looked like another AI idea tied to a mining company. Since then, the story has started to evolve.    The database has grown, more geological records have been added, and the platform is moving closer to real-world testing and user interaction.    That doesn&#39;t prove success, but it does show measurable progress. To me, that&#39;s a more meaningful development than simply talking about AI.    $NRED.CSE    $PLTR $ORCL $SNOW    NFA.",Bullish
658671823,2026-07-09T16:34:04Z,ORCL,"$RUM $ORCL $RDDT Market cap is $2.6  billion and we’re projecting upward of $3 billion in revenue from Northern Data acquisition in cloud GPU and power sales. Yet, not one Wall Street analyst is providing coverage yet. We should be a +$10 billion company already",Bullish
658671806,2026-07-09T16:33:54Z,ORCL,"$RUM $RDDT $ORCL This is a space race for chips and power access to win the AI race. Rumble just acquired 9 data centers, 22k $NVDA GPUs, 300k CPUs and 200 Megawatts of currently unmonetized power access. The 200 MW of power alone has a revnye value of $2 billion per year. RUM should easily be a $10-15 BILLION marketcap or $25-30 stock",Bullish
658670663,2026-07-09T16:25:57Z,ORCL,"$ORCL guys its simple  the call of walls is 145 then 150 , we need to close today above 145 to break the first wall  then 150 next target for tommorw . i bet we will close above 145",
658670188,2026-07-09T16:22:52Z,ORCL,$ORCL 152EOD,
658670033,2026-07-09T16:21:47Z,ORCL,$ORCL CNBC pushing rotation     Black Rock and JP Morgan BUYING ORACLE,Bullish
658669896,2026-07-09T16:20:51Z,ORCL,$ORCL Tutes WANT MORE oracle     Whales &amp; Tutes 🐋 🐳  eat in afternoons,Bullish
658669731,2026-07-09T16:19:42Z,ORCL,$ORCL press the buy button or you will be left behind. It’s that simple!,Bullish
658669425,2026-07-09T16:17:32Z,ORCL,$ORCL if you have dry powder it’s time to use it. Window is closing to buy under 150.,Bullish
658669228,2026-07-09T16:16:14Z,ORCL,$ORCL Watch the tape. The algos never stop. They’re just churning shares back and forth.  motherfucking algos,Bullish
658669217,2026-07-09T16:16:11Z,ORCL,"$ORCL what a turd can’t hold $149 , probably back to $142 before the close",
658668448,2026-07-09T16:10:56Z,ORCL,$ORCL join BlackRock for the ride to 200+ this is how the game is played by the big boys!!!,Bullish
658668326,2026-07-09T16:10:11Z,ORCL,"$ORCL is it just up today based on the motorcycle news, or is this just buy before dividend date and sell off tommorow?",
658668233,2026-07-09T16:09:35Z,ORCL,$ORCL 200++,Bullish
